645,2706
2551,2361
2359,3502
3128,3277
395,1492
2609,2744
2061,2098
1333,2471
1862,2378
3115,2811
3027,1805
1149,2710
641,2280
2054,2440
3388,2380
3434,2669
2701,2303
2876,1582
2400,2248
2990,1816
552,2373
1674,2508
1480,1960
3181,2163
3505,2745
3063,2098
608,2191
2024,2016
875,2323
3429,2048
1634,2268
3407,2012
2555,1451
1164,1852
995,3100
1797,1999
2892,2046
2462,2800
2295,2683
1772,3400
1420,1865
1780,2900
1695,2314
2829,1417
605,1451
2486,2471
3091,1804
3119,2521
1851,2564
3322,3153
2050,1593
1615,2379
2195,2394
2741,2139
1440,2457
2421,3335
2429,2762
1353,2562
1494,1653
457,1348
523,2045
1629,2023
1857,1746
2089,1968
2221,2864
2137,1915
3038,2365
695,1438
2645,3118
2939,1957
1648,2297
1591,2141
595,1809
1664,2308
3060,2471
2634,2199
3326,2390
2919,2530
2761,3241
3552,3018
2837,1785
1507,2558
865,1961
1028,2376
3556,1966
924,2335
2063,2020
1240,2104
1786,1986
1121,2544
507,1486
2651,1639
2073,2693
3448,1702
2496,2657
622,2182
3155,2806
2941,2714
2328,1900
1747,1700
1189,2708
860,2570
1656,1827
2414,2887
566,2393
3555,2048
750,2217
3148,2012
3549,2433
3510,2113
2989,3156
1365,2126
2084,1926
1458,2109
2081,1765
3408,2181
3333,2884
3508,2262
1245,2532
1523,2394
652,1707
2797,2437
2938,1586
464,1510
3488,1787
2114,3043
2647,1735
929,2034
993,2495
2200,3130
445,2414
1974,2304
2082,2104
2431,2593
2902,1879
1349,2096
1293,1828
996,3570
3056,2222
681,2127
1987,2330
1361,1998
1518,1796
2895,3346
792,2588
817,2112
3399,2121
1621,1850
1140,2451
1268,2506
3371,2245
826,2308
2396,2211
2578,2682
3117,1829
2493,2413
960,2204
433,2261
1291,1750
2907,2588
839,3081
1844,2846
3233,1619
1654,2996
2610,2938
838,1972
2657,2347
2679,2206
1662,1626
2936,1934
3184,3470
925,2492
2803,1474
934,2067
3123,2388
2336,2192
2358,2407
1904,1821
657,3157
2529,2434
3025,2571
517,1857
1567,2310
1852,2653
3165,2374
3524,2005
2186,2154
2473,2595
2712,1973
1270,2280
2722,1699
2178,2105
2199,2504
1761,2449
2996,2027
2126,2771
2000,2908
1295,1744
3339,2626
850,1755
1305,1887
1323,2647
2196,2604
371,2020
581,2099
3514,1984
2658,2513
2931,3156
1062,2292
2714,3376
1012,2564
3428,2308
2642,1801
1320,2053
1193,2540
1308,1403
1645,1967
3159,2206
933,2174
2659,1960
1110,2770
1282,2453
1117,2309
2501,1304
2719,1544
3080,1757
868,2051
2747,3251
2390,2292
1676,2568
2044,2650
663,1582
2591,2201
1717,2330
2831,1897
1051,2377
2504,2558
2787,2560
3303,2068
2822,2162
2056,2101
651,1997
1709,1868
2830,2365
2016,2511
2769,2538
583,2058
2622,2761
473,1678
1693,2736
2913,2046
938,1358
2322,2397
2669,3473
1993,1885
917,1923
512,1919
2401,2779
1919,1855
1947,2930
2736,2193
1553,1911
2159,1673
3469,2009
3356,2340
1206,2050
2268,3431
1660,2061
2517,1943
2725,2011
3476,1733
708,2183
3369,1751
2530,2192
1725,1987
764,2357
3046,1563
3306,3041
2893,2051
2132,2574
2355,1592
1363,2570
2248,2825
3142,1426
3251,2063
1821,2626
1701,1918
2771,1861
2782,2307
465,2117
776,2199
3166,2123
1082,3009
2909,2669
3186,2609
1765,2609
2150,2569
1532,2370
793,2249
2357,2109
3327,2197
2976,1954
2412,2588
3543,2556
1798,1868
2397,2137
1608,2321
1171,2022
547,1665
751,1920
3121,1580
3539,1792
2372,1732
1424,3222
1872,2941
2165,1924
2704,2354
3431,3004
3227,1817
2374,1978
1681,1693
1895,3018
2910,1869
375,1589
1437,1929
520,2301
1603,2385
1738,2362
1966,2090
2860,2649
3075,1402
2825,2658
1800,2656
1002,2215
1047,1994
1408,2021
2614,2462
2943,2065
3144,3564
2480,1804
2138,3008
1916,1887
3379,1763
442,1792
1897,1759
573,2151
2171,2461
482,1486
1418,1583
2754,2168
1708,3008
1605,2075
2257,2892
2348,2877
2175,2795
379,1970
1918,1884
1839,2120
3034,1862
634,1974
2124,2391
1516,2152
3380,1592
1147,2736
2923,2485
1545,3385
2415,2180
3279,2637
2945,2189
2210,2077
2059,2477
1263,1630
2590,2532
1719,2549
2041,1550
1238,2017
463,1831
1482,1960
2069,2882
1050,2112
1231,2516
3167,1649
3280,2538
2485,2688
3455,1542
1432,2235
2391,1610
3011,1932
2959,1764
558,2742
1799,2483
1933,2429
2528,2317
3506,2556
1628,2364
2152,2526
2330,2436
775,2695
2886,2825
3045,1710
3359,1448
2012,2357
2896,2627
3260,2224
1257,1956
3223,2192
2021,2678
940,2929
2025,1717
3315,2330
2759,2273
1980,1828
2944,2121
2079,2339
2209,1505
2334,2205
3012,2354
1783,1881
2568,3265
2270,2502
2319,2409
1601,2161
3511,1956
2621,2467
2601,3083
2335,1584
2901,3093
2563,2764
2733,1457
1963,1949
1105,2672
1707,2104
2232,2702
1573,1772
2245,2363
3020,2017
759,1616
723,1709
3474,2028
1672,1474
1095,2564
3267,1592
1367,2599
2678,2463
556,2572
3218,2149
2394,1607
1616,2704
3547,1887
3518,2978
3531,1887
2897,2405
3125,2577
1543,2042
1112,2055
2039,2593
3485,1781
1433,2532
2255,2150
2467,2064
2040,2928
1928,2593
382,2334
3444,2041
3438,2019
3048,2655
3502,2264
3201,2795
2781,2404
1054,2232
891,2067
2385,1991
