1322,2454
1871,1873
639,2190
1673,1929
413,1626
1072,3040
1530,2761
843,2249
1858,1992
1867,3009
1593,2505
1211,3038
1475,2152
1914,1744
891,1924
1226,2217
516,2507
408,2337
546,2428
1382,1998
1837,2650
1787,1344
1057,1526
969,2258
544,1953
947,2793
695,1747
1177,1756
809,2336
1900,1903
1206,2142
1208,2681
1544,2386
1870,2107
1301,2203
1333,1968
584,1364
379,1442
924,1930
1597,2023
840,2766
547,1996
1615,2055
949,3319
767,2001
1659,3073
1851,2875
1084,2010
1949,2891
1860,2016
1446,2630
1835,1635
1119,1927
1310,2091
1831,1843
1620,1596
518,2237
818,1569
1773,2248
1372,3158
1351,2164
726,2109
1085,2548
1078,1987
1876,2443
1915,1754
890,2320
721,1680
1587,2316
1073,2572
1193,1760
1423,2064
952,1899
1965,2178
663,1610
1902,1752
1924,1727
752,1820
593,2435
860,1862
898,2482
1588,2129
1418,2098
1499,2818
875,2733
1769,2250
1273,2125
661,2842
1444,2269
855,1693
432,2119
1637,2066
1908,2218
753,2081
497,1843
729,2282
1338,2721
1316,1829
1784,1748
1761,2096
1935,2252
757,1680
1541,2101
1281,2977
1740,2325
1723,2351
1954,1665
810,2150
1262,1604
1089,2598
460,1723
995,2598
1315,1987
1822,1866
1219,2583
1200,2438
1883,2007
603,1914
1549,1969
666,2162
1538,2116
589,1452
1124,2580
1680,2896
1518,2772
445,1771
1863,2967
438,1923
512,1624
348,2218
1398,2392
990,2751
612,1569
1032,2065
1063,1689
325,1848
1178,1589
1788,3440
1383,1915
1741,1482
1490,2484
297,1882
1130,2305
1598,2683
1176,2843
948,1732
318,1395
1137,2595
285,1346
1734,2315
1197,2327
1720,2479
1494,2536
1462,2674
770,1481
493,1770
499,2247
1709,2440
553,2731
627,2013
1447,1443
407,2455
1011,1964
1381,2215
1869,1868
1582,2723
421,1096
1201,2297
1470,2127
1715,1462
1736,1840
1258,1707
476,1339
608,1802
453,2074
492,2174
1027,2204
1603,2319
1898,2254
380,1734
1547,2294
1952,1996
578,2272
555,1714
761,2069
1583,2327
1162,1898
361,2030
1916,2266
399,2112
1733,2572
951,2482
984,2958
720,2227
1661,2377
409,2324
1464,2218
383,1612
515,1529
1254,3216
718,2499
1393,2522
1327,2151
371,1618
1932,2161
1676,2486
528,1921
1195,2008
1203,2451
1576,3025
1227,1519
1076,2473
1767,2276
1502,2498
632,1897
957,1882
786,2183
1088,1956
772,2252
431,1850
1205,2395
789,2140
792,2018
1580,3244
1046,1871
1772,2300
1638,2169
1896,2406
736,2558
1070,2629
448,1982
1885,2197
1721,2043
1500,1945
698,2136
928,1602
1319,1630
1016,1728
1217,3493
1151,3219
1390,2213
1548,2823
289,1525
1157,2860
400,1741
711,1730
1391,2132
1331,2136
1232,2485
1731,1671
1111,1551
1154,3482
