3180,1944
2289,1840
1049,2003
2290,2485
1239,2534
2570,2119
1498,2297
2576,2295
2246,2320
1989,2666
2711,1996
373,1583
1626,1923
2876,1991
2320,2379
559,2154
535,1838
1528,2045
1214,2556
3134,2245
2228,1893
1794,1552
1253,2076
2138,2412
1136,1431
1308,1984
2738,2850
391,1796
2863,1602
2985,2243
1764,2153
3137,2225
1099,2127
1896,2469
2461,1549
1139,1799
2590,2772
383,1837
843,2359
1570,1948
3068,1827
368,1792
1836,1872
2470,2561
977,1728
2299,1774
332,1348
2658,2164
1695,2233
1357,2134
2782,1640
873,1757
2498,2069
2530,2702
2676,1996
3161,2256
3188,2058
2094,1675
1786,2201
1077,1533
2213,2326
2916,2104
2870,1688
3226,2215
1087,1470
2771,2421
2631,2514
947,2023
3270,1652
845,2403
2912,2344
2722,2249
1138,2158
1319,2226
2867,2220
2496,2267
2205,2440
2300,1787
1012,1972
768,1784
2080,1947
2536,2191
2270,2305
2408,2182
982,1851
2831,2008
1811,1968
1993,1632
1276,1645
1809,1767
2492,2483
3218,1939
569,1943
1297,2061
3213,2002
2089,2178
2028,1919
2656,2316
2008,2169
1900,1964
1220,1383
1234,1731
3199,1791
1532,1976
2175,2735
2793,1548
944,1984
619,2516
720,1770
3177,1550
2836,2791
441,1583
420,1754
1711,2680
3145,2050
1369,1701
3030,1761
1004,1812
2679,2460
998,1665
2050,2806
1359,2050
758,1797
2476,1475
2534,2511
2509,2221
2225,2495
594,1790
919,1129
2898,1481
765,1929
3014,2224
1346,2169
2584,1690
1943,1853
1986,1981
910,1914
2121,2628
2567,2065
2614,2332
2076,2257
3017,1513
655,2359
2240,2319
1737,2882
1460,1987
1911,1719
1961,1508
2794,2175
1804,2230
470,1447
2843,2372
2847,1476
834,1799
1607,2440
2969,1681
527,1745
1358,2295
2832,1193
2045,1527
2953,1626
2547,1879
2756,2363
1761,2009
883,1903
1863,1983
2894,1855
1935,2290
1765,2356
779,1599
331,1761
2107,2077
1965,2180
1559,1541
514,1512
1120,1690
1921,2024
2747,1817
696,1301
2386,2674
3101,1744
1392,2281
3114,1773
1833,2279
2302,2259
3103,1654
889,1895
676,1645
1481,1805
3129,2490
481,1181
632,1264
2760,1965
2780,2616
1454,2055
2632,1756
1416,1455
1837,2001
1594,2323
1588,2515
450,1863
2571,1841
2615,2513
1871,1677
2464,2326
1754,1641
2811,1725
3008,2327
2577,1923
2055,1943
1913,2402
1987,1807
1475,1716
2439,2227
361,1182
1522,2673
2042,2831
1397,1546
3036,2315
3032,2075
3076,1733
2440,2660
2142,2473
3120,2881
1165,1504
2964,2256
2378,2131
2906,1690
1680,2205
1678,2543
525,2096
1340,2403
2909,1520
902,2146
2293,2768
1062,2435
2693,2271
2434,2450
2713,1639
2242,1896
364,1802
2318,1727
3004,1386
2627,2456
2385,2757
2398,2339
1467,1522
2869,2605
1437,1743
1144,1617
929,2316
604,1912
2991,1270
1496,1765
2797,1349
2643,2310
1922,2200
2033,2539
2837,1671
2177,2128
842,1428
711,2347
1944,2233
1307,1438
2886,2759
966,1577
1293,1695
2305,2338
1140,1862
1075,2171
742,1486
1145,2011
3102,2019
1461,1866
1059,2178
1202,1823
1259,2404
2937,2746
3233,2290
2117,1515
612,1632
880,1624
2562,2835
1722,2194
630,1466
2168,2520
2903,2378
1353,1740
1052,2419
657,2282
2604,2315
563,1944
1146,2082
2613,1639
1841,2422
2433,2052
451,1527
2503,2225
1688,1854
1289,1882
981,2253
2931,2369
1246,2228
505,2072
1515,1764
730,1836
2559,1582
1452,2303
485,1861
1815,1618
2403,2261
1474,2299
743,1439
887,1710
1258,2349
2900,2269
2561,1833
751,1709
2192,2303
455,1362
1241,1954
1630,2215
2788,2685
1914,1824
2668,1713
408,1542
1203,1862
1701,1898
2638,2584
3046,2337
2269,2442
770,1479
1385,2006
3245,2338
1166,2314
1053,2460
2284,2603
2451,2290
3094,2650
413,1207
2617,2049
2895,1395
1874,2096
3009,1885
1188,1827
1877,2977
2665,1838
3220,1885
2111,2469
1472,1828
1586,1720
526,1666
3212,2428
1966,2086
1602,1797
495,1518
2292,2104
2972,1780
2610,1798
1196,1736
735,1477
1362,2429
1795,1960
584,1187
2085,1753
2598,2067
586,1576
318,1649
1844,1773
1777,1766
2803,2347
2418,1615
2881,3116
3062,1871
2460,1874
2039,2310
1984,1103
1122,1928
3001,1849
618,2067
3144,1847
2082,2750
2902,1762
1483,2135
1521,2090
2304,2046
482,1553
2248,2458
1653,1560
1995,1680
2628,2660
2048,2611
2002,2751
724,2452
1826,2486
1690,2653
1566,2612
2038,1698
528,1300
401,1663
3130,2485
656,1774
2084,2189
2997,2306
2660,1752
587,2007
3258,1567
396,2099
1337,2183
3210,2343
2209,1622
1325,1642
1339,1928
1082,1753
1097,1688
2426,1885
1287,1789
3278,2267
2960,2441
2041,2006
1970,1498
2732,1748
345,1984
1684,3005
369,1953
1889,2264
823,2240
1171,2166
1950,1815
2194,2410
2618,1502
3165,1577
3075,2415
1537,2593
2165,1986
1904,1558
2372,1765
776,2286
1685,2290
3223,2252
1438,2158
2596,2244
1485,1777
3050,2456
2829,1977
542,1604
2283,2277
2259,1597
1852,2770
2074,2279
2662,1964
561,2195
1592,2603
1132,1848
1638,2772
1328,1449
1178,2073
1148,1414
1135,2092
909,1822
926,1825
1549,2383
2922,2559
547,1989
410,1472
2540,2576
694,1681
1564,1918
540,1866
1857,1726
1742,2338
1411,2275
1960,2607
2297,2070
2396,1881
3231,1752
1719,1535
3133,1888
2748,2268
1585,2336
2945,1686
2762,1799
3007,1724
824,1705
2730,1531
864,1236
1641,1961
2327,2207
1090,1437
1726,2228
1548,1749
2548,2587
530,1523
599,1524
1509,1660
2582,2220
1734,2307
2116,2440
1647,2058
2882,2256
863,2180
740,1888
2544,2032
1441,1726
3192,2278
948,2068
2031,1717
1858,2641
1320,2324
340,1587
2291,2673
3088,1344
1495,1726
2865,1370
1084,1622
886,2421
2712,1977
1778,1728
2919,2580
2933,2323
2479,1751
1767,1706
705,1489
2594,2650
631,1605
2164,2670
3057,2197
1745,1916
1432,2347
1639,1847
1254,2595
2620,2374
1749,2322
2684,2512
2663,2379
2926,2742
652,2486
2670,1593
2616,1102
761,1968
2272,2060
1962,1959
556,1712
3189,2909
1088,1407
446,1543
2673,1890
2583,2231
1648,2280
351,1270
806,1715
2770,1762
2309,2380
1880,1877
2432,1858
917,2589
2003,1632
2276,2189
3182,2142
1605,1991
2096,2433
2109,1958
2371,2176
1330,2226
1821,1901
933,2166
1225,2265
333,2106
2549,1759
3146,1618
1729,1987
2172,1947
2356,2090
3262,2235
2661,1658
1845,2043
2533,2156
2024,2021
1198,1452
1623,2054
2728,1485
1401,2050
2162,2052
1512,1865
593,2083
897,1857
1420,2434
2206,1818
3254,1786
1106,1933
2146,2079
3095,2164
2688,2607
436,1965
1979,2168
1969,2488
1981,2116
2135,2291
1703,2529
1572,2763
633,1748
1848,2076
640,1653
2212,1861
2608,1743
1924,1843
2589,2828
2872,2557
1421,1834
878,1986
551,2057
2529,1942
990,1507
2335,2631
2856,1874
3033,2404
3109,1522
3190,2061
1261,2411
1469,1835
704,1496
958,2231
1283,1922
393,1634
1069,1520
1081,1682
1169,1537
1713,2558
2792,2100
3040,2126
1534,1788
1978,1643
1733,2984
2454,1621
2197,2397
1816,2031
2944,1865
2889,2300
2925,2294
2938,2736
2777,1953
2108,1780
1562,1509
702,1605
2252,1648
2505,1571
2703,1491
3124,1960
1791,2104
1593,2029
865,2537
1755,1803
486,1873
1577,2424
2416,1325
1517,1734
1216,2134
1457,2429
1444,2029
3247,1507
790,1741
2729,1775
1539,1970
2193,2902
562,1764
3005,1693
3013,1648
1462,2222
3175,1585
2083,2239
2778,2140
697,1176
2962,2135
1697,2373
1487,2297
603,1605
377,1605
2844,1572
2825,2365
2075,1966
2365,2807
1891,2348
1014,1755
2068,2553
1780,1780
2081,2514
371,2274
1806,1956
2453,1771
522,1999
2783,1915
1784,2403
2280,1772
2550,2392
984,2130
746,1949
1211,2900
674,1463
1493,2245
1744,2469
1476,1268
2480,1918
1661,1916
3208,1620
695,2218
1781,2694
2877,2049
1565,1753
1479,1722
1310,1631
1490,1756
1879,1847
3070,1260
1739,2063
2841,1871
2974,1655
1996,1758
2360,1567
2260,2032
3045,2168
2885,2126
3271,1737
1827,2847
3219,2544
2007,1773
2295,2108
2047,1955
2807,2238
2301,2618
2519,2260
1772,2042
2357,2281
1953,2601
2779,2561
2030,3049
2016,2875
777,1749
2645,1820
2605,2790
2654,2243
653,1995
2887,1993
1686,2405
2231,1807
762,1537
3123,2380
2698,1904
835,2174
2174,1835
1941,2380
879,2420
3028,1499
714,1615
2707,2024
1125,2044
1789,1551
2049,2219
1609,2265
1142,1583
795,1955
2839,2294
474,1910
1850,1883
1257,1940
1400,1863
841,1540
1502,2513
1302,1711
3249,1465
1377,1845
1446,1751
1406,2262
760,2325
3273,1878
2879,2296
3100,2702
2706,2518
805,2200
1964,2292
2282,2325
786,1439
1694,2168
1829,1728
1280,1994
914,1834
2026,1943
2554,2819
1121,1524
645,1967
1573,2442
848,1639
402,1688
854,1632
1798,2719
2516,2836
2727,2238
2942,2228
2281,2486
2311,2186
2329,2542
2262,2102
3244,1927
1958,1605
2710,1615
978,1479
2987,2060
698,2019
1972,2283
349,1769
478,2264
1251,1590
2410,2033
852,2041
1186,1205
911,2060
2120,2230
2739,2019
2511,1542
1923,1569
1354,1787
3277,1736
708,1689
3207,2279
1859,1689
2469,1798
1792,2227
2785,2277
2655,2554
2431,1891
2449,2910
1897,2156
2637,2115
907,1770
1482,1376
506,1393
2848,1735
545,2128
2328,1593
1364,1704
2128,1597
1651,1599
1306,2050
1415,1897
1248,2393
1372,2562
1429,2741
2587,1622
2267,2288
3241,2376
2078,1879
964,1657
2767,2133
1010,2090
2579,2215
2073,1867
2091,2392
1030,2756
1645,2396
2322,2186
591,1703
335,1565
798,1406
961,1804
3148,1764
792,1733
2775,1610
1032,2083
3187,1734
2012,2872
2866,1657
1356,1988
2407,1845
2265,1975
1560,1877
438,2167
580,1710
3107,1999
1642,1633
1628,1955
3065,2217
2641,2676
516,1512
2217,2108
1442,2909
2063,2468
1599,1724
1134,2381
1878,2455
439,1101
654,1698
3198,1776
1020,1584
1903,2584
921,2510
938,2434
1631,2153
350,1522
1890,1806
1699,2297
1982,2103
1463,1347
541,2057
825,1399
1323,2322
1322,2654
1329,2723
387,1360
1673,1461
2545,1806
819,2447
2023,2235
2955,1504
2093,2400
2677,2005
1870,2684
2072,2183
1085,2268
2806,2406
1674,2124
519,1660
1928,2141
3010,1642
916,2507
2412,2258
3260,1904
2555,1960
2326,2561
928,1767
2202,2908
2441,2384
323,1666
2709,2882
2127,2023
1123,2196
893,1971
2821,1902
1926,1897
1775,2195
3211,2143
3232,2038
2483,2209
2495,2783
2344,1878
1303,1328
817,1689
1616,2143
688,1463
1832,1974
2009,2281
1316,2642
2430,2913
2218,2586
2131,2373
2275,2450
1561,1974
397,1749
1545,1902
1314,2015
1275,3051
1782,1863
1887,1886
2313,2741
2820,1350
444,1885
2098,1888
2634,2758
1094,2101
1807,2523
1281,2550
1174,1815
1930,2285
2515,1998
2332,2040
741,1728
1655,1985
1398,1939
2104,2349
2948,2308
836,1957
2181,2179
494,1302
532,1546
1671,2201
3108,1713
3203,2285
2740,1554
3157,1874
780,2075
2294,1900
3236,2052
671,2037
1712,1612
2671,2384
3055,1743
1488,1969
2500,1529
3029,1516
685,2357
1868,1881
1455,2335
2472,1788
2166,2003
3000,1855
1351,1711
2421,1833
2995,1592
428,1491
3229,2469
577,2132
2890,2503
1402,1228
2532,2309
1047,1854
2683,1465
2915,2398
1499,1806
3072,1857
2543,2357
2823,1642
406,1677
2996,2568
1625,1639
2196,2460
2721,2031
648,1823
2612,1748
1299,1976
3077,1603
2215,1833
1797,1752
2816,1920
3266,1416
3132,1763
2552,2213
1363,2211
1759,1610
1471,2238
2899,2291
659,1692
2636,2191
1348,2116
1523,1574
959,2324
2893,1250
1048,2010
1513,2935
2840,1962
511,1475
1051,2258
1155,2028
757,1692
3143,1846
2622,2589
691,1473
1760,2433
2296,2137
1999,2497
2370,2251
2513,1912
2754,1517
2568,1986
667,1799
602,1556
2818,2124
2452,2053
1533,2132
1584,2649
1714,2476
555,2046
2935,1779
3153,1986
969,1934
2644,1807
1885,2267
1373,2094
2286,2956
2478,2227
1031,1968
2368,1750
627,1729
801,1767
3074,1951
2237,1938
1666,2525
2475,1655
1621,2183
2419,1549
1752,2601
725,1770
2271,2187
2211,1558
636,1935
1176,1804
2157,2238
2137,2078
546,1808
3242,2194
2161,1509
2232,2968
548,1900
2266,2484
922,2389
1399,1512
1440,2290
3224,2473
1552,2463
1244,2527
3083,1746
858,1514
2490,1580
3135,1668
3222,1799
1213,2368
2113,2414
3171,1593
608,2516
3179,2459
2474,2090
2179,1962
1516,1650
2553,1336
1263,1815
2350,1780
452,1662
979,1547
2675,1957
2514,1716
2859,2046
1265,1786
3098,2303
3020,1187
942,1403
1129,2648
2413,1945
943,1546
2052,1567
3048,1946
1550,1616
2147,3003
3034,1959
2071,1444
997,1674
1414,1776
3058,1491
2235,2187
1394,1370
1029,1830
3221,2225
2878,2266
1335,2226
898,1903
2160,2807
2716,1965
2828,1704
867,2075
2672,1541
2871,1966
1563,1934
2230,1722
2060,1866
2697,2609
1622,1356
2814,1762
2984,2955
3162,2369
2647,1756
838,1874
2606,2142
2376,2664
734,2011
629,2033
1615,2728
3105,2180
2736,1524
2790,1960
3156,1681
1185,2096
3183,2469
3167,1549
1808,2170
491,1892
1810,2495
2105,2555
1865,1917
2015,2233
2484,2749
2387,1701
2455,1538
2827,1827
2130,1853
1740,2039
2708,2181
425,1681
568,1782
1940,1987
2701,1982
901,2166
1766,1860
1546,1676
1349,2315
1093,1978
1343,2247
1633,2461
1063,2421
3041,1804
1298,1635
2947,1863
1756,2757
1321,1713
891,2173
3078,2672
3043,1894
3053,1840
995,1863
1095,2133
1019,1644
1587,1751
3246,2655
1612,2237
877,1988
1988,2077
3138,1587
1872,2305
1116,1878
1540,2324
2599,1866
675,1893
2896,2519
2123,2271
774,1760
2466,2629
2954,2009
2883,1950
1800,2095
3235,2529
2718,2844
771,1916
2787,1770
1650,1796
985,1712
2700,1985
663,1569
2191,1635
1679,2657
2390,1951
884,2462
1112,1904
2261,1984
718,1592
2988,1952
3099,1714
1939,1439
644,2027
3251,1801
3225,2302
3063,1637
3255,2111
2106,2108
1465,2245
872,2339
3268,1102
2521,2580
1925,2079
3234,1810
1159,1616
745,1704
1217,2208
3073,2257
3136,2403
662,2038
1338,1266
3197,1893
2980,1570
1078,2843
1334,2258
1771,2310
3168,1981
2873,2645
429,2437
2801,1869
2744,2243
731,2314
2486,2325
1197,2591
3069,1981
935,1474
2053,1725
3228,2383
1664,2486
2897,1528
3237,2069
2054,2294
1776,2590
2343,1631
1395,1734
1443,1905
2200,1438
1818,2188
574,1553
3117,1498
2316,2676
682,1981
1901,3035
830,1705
1683,2460
1632,1767
1288,2210
2936,1840
930,2101
2921,1342
660,2232
669,1416
2959,2015
1096,2191
1750,1895
2189,2665
2129,1717
2169,2876
2802,1842
1568,2049
1788,2407
1692,1681
1994,2353
1273,2423
2965,2032
1669,1572
3026,1529
2219,2539
1267,2493
2857,2135
317,1733
635,1788
2705,2304
382,1693
804,1764
1173,1870
2298,2377
2625,2347
523,1654
1374,2819
2059,1797
2274,1872
2510,2658
3272,3141
2459,1689
2537,1639
3087,1713
3051,2030
2685,2278
1067,2250
1043,2278
3209,1915
2102,2953
2077,2639
1959,2098
1527,1875
651,2191
2021,2329
1974,2434
3023,1415
1698,2352
1558,2553
1751,2450
3230,1830
2946,2042
2998,2546
1365,2312
980,1933
2494,1773
1838,2186
1433,2111
2967,1780
2203,2505
1856,1612
381,1608
2354,2612
967,2303
2239,2110
2800,1997
2004,2205
2006,1856
1025,1930
1417,1706
1282,2056
999,1722
739,1492
2763,2536
2394,2310
1702,2061
1902,2306
3081,1489
480,2100
2538,2375
1956,2114
2578,2050
3118,1978
1491,1472
3106,1892
1489,2020
3176,1822
3128,2523
2725,2095
803,2236
3064,1931
1980,1566
1376,2519
2924,1515
316,1883
1617,2300
3104,1402
1724,2509
1021,1962
2046,2275
1445,1487
2112,1677
1576,1573
2245,1459
1931,2337
1676,2206
871,2422
3024,2267
1908,2522
432,2050
2377,1717
1170,1564
592,1319
678,1806
2929,1705
2402,2292
2375,2057
3191,2132
1201,1945
2891,2033
2539,1916
1361,1951
1224,2268
2717,2283
1720,1415
3021,1681
1938,2239
2731,2714
2187,1564
